Processing FPS: 14.39 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.39 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.37 | Video Playback FPS: 14.42 | Frames in Buffer: 0
Processing FPS: 14.37 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.36 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.36 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.36 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.33 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.36 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.32 | Frames in Buffer: 1
Processing FPS: 14.32 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.29 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.29 | Frames in Buffer: 0
