Processing FPS: 23.20 | Video Playback FPS: 10.67 | Frames in Buffer: 62
Processing FPS: 23.19 | Video Playback FPS: 10.71 | Frames in Buffer: 62
Processing FPS: 23.21 | Video Playback FPS: 10.71 | Frames in Buffer: 63
Processing FPS: 23.21 | Video Playback FPS: 10.74 | Frames in Buffer: 63
Processing FPS: 23.22 | Video Playback FPS: 10.78 | Frames in Buffer: 63
Processing FPS: 23.23 | Video Playback FPS: 10.78 | Frames in Buffer: 64
Processing FPS: 23.23 | Video Playback FPS: 10.82 | Frames in Buffer: 64
Processing FPS: 23.22 | Video Playback FPS: 10.82 | Frames in Buffer: 65
Processing FPS: 23.21 | Video Playback FPS: 10.86 | Frames in Buffer: 65
Processing FPS: 23.19 | Video Playback FPS: 10.90 | Frames in Buffer: 65
Processing FPS: 23.20 | Video Playback FPS: 10.90 | Frames in Buffer: 66
Processing FPS: 23.19 | Video Playback FPS: 10.94 | Frames in Buffer: 66
Processing FPS: 23.20 | Video Playback FPS: 10.98 | Frames in Buffer: 66
Processing FPS: 23.20 | Video Playback FPS: 10.98 | Frames in Buffer: 67
Processing FPS: 23.20 | Video Playback FPS: 11.03 | Frames in Buffer: 67
Processing FPS: 23.20 | Video Playback FPS: 11.07 | Frames in Buffer: 67
Processing FPS: 23.19 | Video Playback FPS: 11.07 | Frames in Buffer: 68
Processing FPS: 23.17 | Video Playback FPS: 11.11 | Frames in Buffer: 68
Processing FPS: 23.17 | Video Playback FPS: 11.15 | Frames in Buffer: 68
Processing FPS: 23.16 | Video Playback FPS: 11.15 | Frames in Buffer: 69
Processing FPS: 23.17 | Video Playback FPS: 11.19 | Frames in Buffer: 69
Processing FPS: 23.18 | Video Playback FPS: 11.24 | Frames in Buffer: 69
Processing FPS: 23.17 | Video Playback FPS: 11.24 | Frames in Buffer: 70
Processing FPS: 23.16 | Video Playback FPS: 11.28 | Frames in Buffer: 70
Processing FPS: 23.15 | Video Playback FPS: 11.32 | Frames in Buffer: 70
Processing FPS: 23.14 | Video Playback FPS: 11.32 | Frames in Buffer: 71
Processing FPS: 23.14 | Video Playback FPS: 11.36 | Frames in Buffer: 71
Processing FPS: 23.15 | Video Playback FPS: 11.41 | Frames in Buffer: 71
Processing FPS: 23.16 | Video Playback FPS: 11.45 | Frames in Buffer: 71
Processing FPS: 23.16 | Video Playback FPS: 11.45 | Frames in Buffer: 72
Processing FPS: 23.17 | Video Playback FPS: 11.49 | Frames in Buffer: 72
Processing FPS: 23.15 | Video Playback FPS: 11.54 | Frames in Buffer: 72
Processing FPS: 23.15 | Video Playback FPS: 11.58 | Frames in Buffer: 72
Processing FPS: 23.13 | Video Playback FPS: 11.58 | Frames in Buffer: 73
Processing FPS: 23.13 | Video Playback FPS: 11.63 | Frames in Buffer: 73
Processing FPS: 23.13 | Video Playback FPS: 11.67 | Frames in Buffer: 73
Processing FPS: 23.14 | Video Playback FPS: 11.72 | Frames in Buffer: 73
Processing FPS: 23.13 | Video Playback FPS: 11.72 | Frames in Buffer: 74
Processing FPS: 23.12 | Video Playback FPS: 11.77 | Frames in Buffer: 74
Processing FPS: 23.13 | Video Playback FPS: 11.82 | Frames in Buffer: 74
Processing FPS: 23.14 | Video Playback FPS: 11.86 | Frames in Buffer: 74
Processing FPS: 23.14 | Video Playback FPS: 11.91 | Frames in Buffer: 74
Processing FPS: 23.13 | Video Playback FPS: 11.91 | Frames in Buffer: 75
Processing FPS: 23.14 | Video Playback FPS: 11.96 | Frames in Buffer: 75
Processing FPS: 23.13 | Video Playback FPS: 12.01 | Frames in Buffer: 75
Processing FPS: 23.12 | Video Playback FPS: 12.06 | Frames in Buffer: 75
Processing FPS: 23.11 | Video Playback FPS: 12.10 | Frames in Buffer: 75
Processing FPS: 23.11 | Video Playback FPS: 12.15 | Frames in Buffer: 75
Processing FPS: 23.13 | Video Playback FPS: 12.15 | Frames in Buffer: 76
Processing FPS: 23.14 | Video Playback FPS: 12.20 | Frames in Buffer: 76
Processing FPS: 23.14 | Video Playback FPS: 12.25 | Frames in Buffer: 76
Processing FPS: 23.14 | Video Playback FPS: 12.30 | Frames in Buffer: 76
Processing FPS: 23.14 | Video Playback FPS: 12.36 | Frames in Buffer: 76
Processing FPS: 23.14 | Video Playback FPS: 13.30 | Frames in Buffer: 76
Processing FPS: 23.15 | Video Playback FPS: 13.22 | Frames in Buffer: 76
Processing FPS: 23.15 | Video Playback FPS: 13.22 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.14 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.13 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.14 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.19 | Frames in Buffer: 77
Processing FPS: 23.11 | Video Playback FPS: 13.26 | Frames in Buffer: 77
Processing FPS: 23.11 | Video Playback FPS: 13.34 | Frames in Buffer: 77
Processing FPS: 23.12 | Video Playback FPS: 13.44 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.54 | Frames in Buffer: 77
Processing FPS: 23.12 | Video Playback FPS: 13.64 | Frames in Buffer: 77
Processing FPS: 23.13 | Video Playback FPS: 13.75 | Frames in Buffer: 77
Processing FPS: 23.14 | Video Playback FPS: 13.86 | Frames in Buffer: 77
Processing FPS: 23.14 | Video Playback FPS: 13.97 | Frames in Buffer: 77
Processing FPS: 23.15 | Video Playback FPS: 14.08 | Frames in Buffer: 77
Processing FPS: 23.17 | Video Playback FPS: 14.20 | Frames in Buffer: 77
Processing FPS: 23.19 | Video Playback FPS: 14.32 | Frames in Buffer: 77
Processing FPS: 23.19 | Video Playback FPS: 14.45 | Frames in Buffer: 77
Processing FPS: 23.18 | Video Playback FPS: 14.57 | Frames in Buffer: 77
Processing FPS: 23.17 | Video Playback FPS: 14.70 | Frames in Buffer: 77
Processing FPS: 23.17 | Video Playback FPS: 14.83 | Frames in Buffer: 77
Processing FPS: 23.18 | Video Playback FPS: 14.96 | Frames in Buffer: 77
Processing FPS: 23.19 | Video Playback FPS: 15.09 | Frames in Buffer: 77
Processing FPS: 23.21 | Video Playback FPS: 15.23 | Frames in Buffer: 77
Processing FPS: 23.22 | Video Playback FPS: 15.36 | Frames in Buffer: 77
Processing FPS: 23.23 | Video Playback FPS: 15.63 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 15.78 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 15.92 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 16.07 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 16.22 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 16.37 | Frames in Buffer: 76
Processing FPS: 23.22 | Video Playback FPS: 16.67 | Frames in Buffer: 75
Processing FPS: 23.24 | Video Playback FPS: 16.83 | Frames in Buffer: 75
Processing FPS: 23.25 | Video Playback FPS: 16.99 | Frames in Buffer: 75
Processing FPS: 23.26 | Video Playback FPS: 17.15 | Frames in Buffer: 75
Processing FPS: 23.27 | Video Playback FPS: 17.49 | Frames in Buffer: 74
Processing FPS: 23.27 | Video Playback FPS: 17.67 | Frames in Buffer: 74
Processing FPS: 23.31 | Video Playback FPS: 17.84 | Frames in Buffer: 74
Processing FPS: 23.32 | Video Playback FPS: 18.20 | Frames in Buffer: 73
Processing FPS: 23.33 | Video Playback FPS: 18.38 | Frames in Buffer: 73
Processing FPS: 23.33 | Video Playback FPS: 18.76 | Frames in Buffer: 72
Processing FPS: 23.33 | Video Playback FPS: 18.95 | Frames in Buffer: 72
Processing FPS: 23.33 | Video Playback FPS: 19.14 | Frames in Buffer: 72
Processing FPS: 23.33 | Video Playback FPS: 19.51 | Frames in Buffer: 71
Processing FPS: 23.34 | Video Playback FPS: 19.70 | Frames in Buffer: 71
Processing FPS: 23.35 | Video Playback FPS: 19.88 | Frames in Buffer: 71
Processing FPS: 23.35 | Video Playback FPS: 20.25 | Frames in Buffer: 70
Processing FPS: 23.35 | Video Playback FPS: 20.44 | Frames in Buffer: 70
Processing FPS: 23.35 | Video Playback FPS: 20.61 | Frames in Buffer: 70
Processing FPS: 23.35 | Video Playback FPS: 20.79 | Frames in Buffer: 70
Processing FPS: 23.36 | Video Playback FPS: 21.14 | Frames in Buffer: 69
Processing FPS: 23.35 | Video Playback FPS: 21.31 | Frames in Buffer: 69
Processing FPS: 23.35 | Video Playback FPS: 21.50 | Frames in Buffer: 69
Processing FPS: 23.36 | Video Playback FPS: 21.67 | Frames in Buffer: 69
Processing FPS: 23.37 | Video Playback FPS: 21.83 | Frames in Buffer: 69
Processing FPS: 23.37 | Video Playback FPS: 22.01 | Frames in Buffer: 69
Processing FPS: 23.36 | Video Playback FPS: 22.33 | Frames in Buffer: 68
Processing FPS: 23.37 | Video Playback FPS: 22.49 | Frames in Buffer: 68
Processing FPS: 23.37 | Video Playback FPS: 22.64 | Frames in Buffer: 68
Processing FPS: 23.37 | Video Playback FPS: 22.80 | Frames in Buffer: 68
Processing FPS: 23.37 | Video Playback FPS: 22.95 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.09 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.24 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.38 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.51 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.65 | Frames in Buffer: 68
Processing FPS: 23.38 | Video Playback FPS: 23.77 | Frames in Buffer: 68
Processing FPS: 23.39 | Video Playback FPS: 23.90 | Frames in Buffer: 68
Processing FPS: 23.40 | Video Playback FPS: 24.01 | Frames in Buffer: 68
