Processing FPS: 39.77 | Video Playback FPS: 39.68 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.74 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.74 | Frames in Buffer: 0
Processing FPS: 39.82 | Video Playback FPS: 39.78 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.72 | Frames in Buffer: 0
Processing FPS: 39.84 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.73 | Video Playback FPS: 39.70 | Frames in Buffer: 0
Processing FPS: 39.74 | Video Playback FPS: 39.72 | Frames in Buffer: 0
Processing FPS: 39.72 | Video Playback FPS: 39.67 | Frames in Buffer: 0
Processing FPS: 39.65 | Video Playback FPS: 39.67 | Frames in Buffer: 0
Processing FPS: 39.62 | Video Playback FPS: 39.59 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.54 | Frames in Buffer: 0
Processing FPS: 39.52 | Video Playback FPS: 39.46 | Frames in Buffer: 0
Processing FPS: 39.50 | Video Playback FPS: 39.47 | Frames in Buffer: 0
Processing FPS: 39.50 | Video Playback FPS: 39.43 | Frames in Buffer: 0
Processing FPS: 39.41 | Video Playback FPS: 39.41 | Frames in Buffer: 0
Processing FPS: 39.35 | Video Playback FPS: 39.32 | Frames in Buffer: 0
Processing FPS: 39.33 | Video Playback FPS: 39.33 | Frames in Buffer: 0
Processing FPS: 39.24 | Video Playback FPS: 39.24 | Frames in Buffer: 0
Processing FPS: 39.24 | Video Playback FPS: 39.20 | Frames in Buffer: 0
Processing FPS: 39.20 | Video Playback FPS: 39.17 | Frames in Buffer: 0
Processing FPS: 39.21 | Video Playback FPS: 39.15 | Frames in Buffer: 0
Processing FPS: 39.26 | Video Playback FPS: 39.21 | Frames in Buffer: 0
Processing FPS: 39.30 | Video Playback FPS: 39.20 | Frames in Buffer: 0
Processing FPS: 39.38 | Video Playback FPS: 39.29 | Frames in Buffer: 0
Processing FPS: 39.45 | Video Playback FPS: 39.34 | Frames in Buffer: 0
Processing FPS: 39.54 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.53 | Video Playback FPS: 39.50 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.52 | Frames in Buffer: 0
Processing FPS: 39.52 | Video Playback FPS: 39.47 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.49 | Frames in Buffer: 0
Processing FPS: 39.61 | Video Playback FPS: 39.56 | Frames in Buffer: 0
