Processing FPS: 39.62 | Video Playback FPS: 22.35 | Frames in Buffer: 36
Processing FPS: 39.65 | Video Playback FPS: 22.40 | Frames in Buffer: 36
Processing FPS: 39.67 | Video Playback FPS: 22.40 | Frames in Buffer: 37
Processing FPS: 39.67 | Video Playback FPS: 22.45 | Frames in Buffer: 37
Processing FPS: 39.65 | Video Playback FPS: 22.49 | Frames in Buffer: 37
Processing FPS: 39.65 | Video Playback FPS: 22.49 | Frames in Buffer: 38
Processing FPS: 39.60 | Video Playback FPS: 22.53 | Frames in Buffer: 38
Processing FPS: 39.55 | Video Playback FPS: 22.57 | Frames in Buffer: 38
Processing FPS: 39.51 | Video Playback FPS: 22.57 | Frames in Buffer: 39
Processing FPS: 39.47 | Video Playback FPS: 22.58 | Frames in Buffer: 39
Processing FPS: 39.52 | Video Playback FPS: 22.62 | Frames in Buffer: 39
Processing FPS: 39.55 | Video Playback FPS: 22.62 | Frames in Buffer: 40
Processing FPS: 39.55 | Video Playback FPS: 22.65 | Frames in Buffer: 40
Processing FPS: 39.54 | Video Playback FPS: 22.68 | Frames in Buffer: 40
Processing FPS: 39.53 | Video Playback FPS: 22.68 | Frames in Buffer: 41
Processing FPS: 39.45 | Video Playback FPS: 22.72 | Frames in Buffer: 41
Processing FPS: 39.47 | Video Playback FPS: 22.75 | Frames in Buffer: 41
Processing FPS: 39.44 | Video Playback FPS: 22.75 | Frames in Buffer: 42
Processing FPS: 39.41 | Video Playback FPS: 22.78 | Frames in Buffer: 42
Processing FPS: 39.48 | Video Playback FPS: 22.81 | Frames in Buffer: 42
Processing FPS: 39.47 | Video Playback FPS: 22.81 | Frames in Buffer: 43
Processing FPS: 39.42 | Video Playback FPS: 22.84 | Frames in Buffer: 43
Processing FPS: 39.42 | Video Playback FPS: 22.86 | Frames in Buffer: 43
Processing FPS: 39.44 | Video Playback FPS: 22.86 | Frames in Buffer: 44
Processing FPS: 39.42 | Video Playback FPS: 22.89 | Frames in Buffer: 44
Processing FPS: 39.45 | Video Playback FPS: 22.92 | Frames in Buffer: 44
Processing FPS: 39.41 | Video Playback FPS: 22.92 | Frames in Buffer: 45
Processing FPS: 39.41 | Video Playback FPS: 22.94 | Frames in Buffer: 45
Processing FPS: 39.43 | Video Playback FPS: 22.94 | Frames in Buffer: 46
Processing FPS: 39.42 | Video Playback FPS: 22.96 | Frames in Buffer: 46
Processing FPS: 39.39 | Video Playback FPS: 22.98 | Frames in Buffer: 46
Processing FPS: 39.43 | Video Playback FPS: 22.98 | Frames in Buffer: 47
Processing FPS: 39.43 | Video Playback FPS: 23.00 | Frames in Buffer: 47
Processing FPS: 39.36 | Video Playback FPS: 23.03 | Frames in Buffer: 47
Processing FPS: 39.31 | Video Playback FPS: 23.03 | Frames in Buffer: 48
Processing FPS: 39.30 | Video Playback FPS: 23.05 | Frames in Buffer: 48
Processing FPS: 39.24 | Video Playback FPS: 23.07 | Frames in Buffer: 48
Processing FPS: 39.25 | Video Playback FPS: 23.07 | Frames in Buffer: 49
Processing FPS: 39.26 | Video Playback FPS: 23.09 | Frames in Buffer: 49
Processing FPS: 39.23 | Video Playback FPS: 23.11 | Frames in Buffer: 49
Processing FPS: 39.22 | Video Playback FPS: 23.11 | Frames in Buffer: 50
Processing FPS: 39.21 | Video Playback FPS: 23.14 | Frames in Buffer: 50
Processing FPS: 39.21 | Video Playback FPS: 23.16 | Frames in Buffer: 50
Processing FPS: 39.19 | Video Playback FPS: 23.16 | Frames in Buffer: 51
Processing FPS: 39.14 | Video Playback FPS: 26.81 | Frames in Buffer: 51
Processing FPS: 39.17 | Video Playback FPS: 26.81 | Frames in Buffer: 52
Processing FPS: 39.19 | Video Playback FPS: 26.53 | Frames in Buffer: 52
Processing FPS: 39.10 | Video Playback FPS: 26.29 | Frames in Buffer: 52
Processing FPS: 39.09 | Video Playback FPS: 26.29 | Frames in Buffer: 53
Processing FPS: 39.05 | Video Playback FPS: 26.02 | Frames in Buffer: 53
