Processing FPS: 7.94 | Video Playback FPS: 8.39 | Frames in Buffer: 3
Processing FPS: 7.93 | Video Playback FPS: 8.47 | Frames in Buffer: 2
Processing FPS: 7.93 | Video Playback FPS: 8.51 | Frames in Buffer: 2
Processing FPS: 7.93 | Video Playback FPS: 8.59 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.63 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.67 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.75 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.78 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.82 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.82 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.81 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.84 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.87 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.89 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.83 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.86 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.88 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.90 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.92 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.94 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.94 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.87 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.88 | Frames in Buffer: 1
Processing FPS: 7.92 | Video Playback FPS: 8.91 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.92 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.93 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.94 | Frames in Buffer: 0
Processing FPS: 7.92 | Video Playback FPS: 8.94 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.95 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.95 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.96 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.96 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.96 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.96 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.95 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.95 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.94 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.94 | Frames in Buffer: 0
Processing FPS: 7.93 | Video Playback FPS: 8.94 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.93 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.92 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.91 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.90 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.88 | Frames in Buffer: 1
Processing FPS: 7.93 | Video Playback FPS: 8.88 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.86 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.85 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.84 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.82 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.81 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.79 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.78 | Frames in Buffer: 1
Processing FPS: 7.94 | Video Playback FPS: 8.78 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.76 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.75 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.73 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.72 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.70 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.69 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.67 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.66 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.64 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.63 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.62 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.61 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.60 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.59 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.59 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.58 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.57 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.56 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.55 | Frames in Buffer: 2
Processing FPS: 7.94 | Video Playback FPS: 8.53 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.52 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.51 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.51 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.50 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.49 | Frames in Buffer: 1
Processing FPS: 7.95 | Video Playback FPS: 8.48 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.47 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.46 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.45 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.44 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.43 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.41 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.40 | Frames in Buffer: 1
Processing FPS: 7.96 | Video Playback FPS: 8.38 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.36 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.35 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.33 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.32 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.30 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.28 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.26 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.24 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.22 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 8.20 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.18 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.16 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.14 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.11 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.09 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.06 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.04 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.95 | Frames in Buffer: 1
Processing FPS: 7.97 | Video Playback FPS: 7.92 | Frames in Buffer: 1
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.94 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.92 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.90 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.89 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.94 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.92 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.90 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.89 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.87 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.86 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.92 | Frames in Buffer: 1
Processing FPS: 7.98 | Video Playback FPS: 7.92 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.90 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.89 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.88 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.87 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.87 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.86 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.86 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.85 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.85 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.85 | Frames in Buffer: 2
Processing FPS: 7.98 | Video Playback FPS: 7.85 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.85 | Frames in Buffer: 2
Processing FPS: 7.99 | Video Playback FPS: 7.85 | Frames in Buffer: 2
