Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.95 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.95 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.95 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.95 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.95 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.03 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.03 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.03 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.03 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.03 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.02 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.02 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.01 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 8.00 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 8.00 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.99 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 7.98 | Frames in Buffer: 0
