Processing FPS: 28.48 | Video Playback FPS: 10.49 | Frames in Buffer: 75
Processing FPS: 28.49 | Video Playback FPS: 10.49 | Frames in Buffer: 76
Processing FPS: 28.47 | Video Playback FPS: 10.49 | Frames in Buffer: 77
Processing FPS: 28.45 | Video Playback FPS: 10.52 | Frames in Buffer: 77
Processing FPS: 28.45 | Video Playback FPS: 10.52 | Frames in Buffer: 78
Processing FPS: 28.44 | Video Playback FPS: 10.56 | Frames in Buffer: 78
Processing FPS: 28.48 | Video Playback FPS: 10.56 | Frames in Buffer: 79
Processing FPS: 28.49 | Video Playback FPS: 10.60 | Frames in Buffer: 79
Processing FPS: 28.48 | Video Playback FPS: 10.60 | Frames in Buffer: 80
Processing FPS: 28.49 | Video Playback FPS: 10.64 | Frames in Buffer: 80
Processing FPS: 28.53 | Video Playback FPS: 10.64 | Frames in Buffer: 81
Processing FPS: 28.49 | Video Playback FPS: 10.68 | Frames in Buffer: 81
Processing FPS: 28.48 | Video Playback FPS: 10.68 | Frames in Buffer: 82
Processing FPS: 28.47 | Video Playback FPS: 10.72 | Frames in Buffer: 82
Processing FPS: 28.46 | Video Playback FPS: 10.72 | Frames in Buffer: 83
Processing FPS: 28.47 | Video Playback FPS: 10.76 | Frames in Buffer: 83
Processing FPS: 28.47 | Video Playback FPS: 10.76 | Frames in Buffer: 84
Processing FPS: 28.48 | Video Playback FPS: 10.80 | Frames in Buffer: 84
Processing FPS: 28.47 | Video Playback FPS: 10.80 | Frames in Buffer: 85
Processing FPS: 28.48 | Video Playback FPS: 10.84 | Frames in Buffer: 85
Processing FPS: 28.45 | Video Playback FPS: 10.84 | Frames in Buffer: 86
Processing FPS: 28.46 | Video Playback FPS: 10.88 | Frames in Buffer: 86
Processing FPS: 28.44 | Video Playback FPS: 10.88 | Frames in Buffer: 87
Processing FPS: 28.45 | Video Playback FPS: 10.92 | Frames in Buffer: 87
Processing FPS: 28.49 | Video Playback FPS: 10.92 | Frames in Buffer: 88
Processing FPS: 28.51 | Video Playback FPS: 10.96 | Frames in Buffer: 88
Processing FPS: 28.50 | Video Playback FPS: 10.96 | Frames in Buffer: 89
Processing FPS: 28.49 | Video Playback FPS: 11.00 | Frames in Buffer: 89
Processing FPS: 28.47 | Video Playback FPS: 11.00 | Frames in Buffer: 90
Processing FPS: 28.50 | Video Playback FPS: 11.04 | Frames in Buffer: 90
Processing FPS: 28.47 | Video Playback FPS: 11.04 | Frames in Buffer: 91
Processing FPS: 28.47 | Video Playback FPS: 11.09 | Frames in Buffer: 91
Processing FPS: 28.47 | Video Playback FPS: 11.09 | Frames in Buffer: 92
Processing FPS: 28.45 | Video Playback FPS: 11.13 | Frames in Buffer: 92
Processing FPS: 28.48 | Video Playback FPS: 11.13 | Frames in Buffer: 93
Processing FPS: 28.48 | Video Playback FPS: 11.17 | Frames in Buffer: 93
Processing FPS: 28.45 | Video Playback FPS: 11.17 | Frames in Buffer: 94
Processing FPS: 28.47 | Video Playback FPS: 11.21 | Frames in Buffer: 94
Processing FPS: 28.47 | Video Playback FPS: 11.25 | Frames in Buffer: 94
Processing FPS: 28.44 | Video Playback FPS: 11.25 | Frames in Buffer: 95
Processing FPS: 28.43 | Video Playback FPS: 11.29 | Frames in Buffer: 95
Processing FPS: 28.44 | Video Playback FPS: 11.29 | Frames in Buffer: 96
Processing FPS: 28.39 | Video Playback FPS: 11.34 | Frames in Buffer: 96
Processing FPS: 28.37 | Video Playback FPS: 11.34 | Frames in Buffer: 97
Processing FPS: 28.38 | Video Playback FPS: 11.38 | Frames in Buffer: 97
Processing FPS: 28.37 | Video Playback FPS: 11.43 | Frames in Buffer: 97
Processing FPS: 28.35 | Video Playback FPS: 11.43 | Frames in Buffer: 98
Processing FPS: 28.35 | Video Playback FPS: 11.47 | Frames in Buffer: 98
Processing FPS: 28.37 | Video Playback FPS: 11.47 | Frames in Buffer: 99
Processing FPS: 28.36 | Video Playback FPS: 11.52 | Frames in Buffer: 99
Processing FPS: 28.37 | Video Playback FPS: 11.52 | Frames in Buffer: 100
Processing FPS: 28.39 | Video Playback FPS: 11.56 | Frames in Buffer: 100
Processing FPS: 28.40 | Video Playback FPS: 11.61 | Frames in Buffer: 100
Processing FPS: 28.40 | Video Playback FPS: 11.61 | Frames in Buffer: 101
Processing FPS: 28.39 | Video Playback FPS: 11.65 | Frames in Buffer: 101
Processing FPS: 28.36 | Video Playback FPS: 11.70 | Frames in Buffer: 101
Processing FPS: 28.33 | Video Playback FPS: 11.75 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 11.79 | Frames in Buffer: 101
Processing FPS: 28.34 | Video Playback FPS: 11.84 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 11.89 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 11.93 | Frames in Buffer: 101
Processing FPS: 28.31 | Video Playback FPS: 11.98 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 12.03 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 12.08 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 12.13 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 12.18 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 12.23 | Frames in Buffer: 101
Processing FPS: 28.26 | Video Playback FPS: 12.28 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 12.33 | Frames in Buffer: 101
Processing FPS: 28.24 | Video Playback FPS: 12.38 | Frames in Buffer: 101
Processing FPS: 28.22 | Video Playback FPS: 12.43 | Frames in Buffer: 101
Processing FPS: 28.19 | Video Playback FPS: 12.49 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 12.54 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 12.59 | Frames in Buffer: 101
Processing FPS: 28.15 | Video Playback FPS: 13.59 | Frames in Buffer: 101
Processing FPS: 28.15 | Video Playback FPS: 13.51 | Frames in Buffer: 101
Processing FPS: 28.16 | Video Playback FPS: 13.44 | Frames in Buffer: 101
Processing FPS: 28.13 | Video Playback FPS: 13.38 | Frames in Buffer: 101
Processing FPS: 28.12 | Video Playback FPS: 13.39 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 13.45 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 13.53 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 13.62 | Frames in Buffer: 101
Processing FPS: 28.09 | Video Playback FPS: 13.72 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 13.82 | Frames in Buffer: 101
Processing FPS: 28.05 | Video Playback FPS: 13.93 | Frames in Buffer: 101
Processing FPS: 28.07 | Video Playback FPS: 14.04 | Frames in Buffer: 101
Processing FPS: 28.07 | Video Playback FPS: 14.16 | Frames in Buffer: 101
Processing FPS: 28.11 | Video Playback FPS: 14.28 | Frames in Buffer: 101
Processing FPS: 28.09 | Video Playback FPS: 14.40 | Frames in Buffer: 101
Processing FPS: 28.12 | Video Playback FPS: 14.52 | Frames in Buffer: 101
Processing FPS: 28.12 | Video Playback FPS: 14.66 | Frames in Buffer: 101
Processing FPS: 28.14 | Video Playback FPS: 14.79 | Frames in Buffer: 101
Processing FPS: 28.12 | Video Playback FPS: 14.92 | Frames in Buffer: 101
Processing FPS: 28.11 | Video Playback FPS: 15.05 | Frames in Buffer: 101
Processing FPS: 28.11 | Video Playback FPS: 15.18 | Frames in Buffer: 101
Processing FPS: 28.10 | Video Playback FPS: 15.33 | Frames in Buffer: 101
Processing FPS: 28.12 | Video Playback FPS: 15.46 | Frames in Buffer: 101
Processing FPS: 28.11 | Video Playback FPS: 15.60 | Frames in Buffer: 101
Processing FPS: 28.09 | Video Playback FPS: 15.74 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 15.89 | Frames in Buffer: 101
Processing FPS: 28.10 | Video Playback FPS: 16.04 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 16.34 | Frames in Buffer: 100
Processing FPS: 28.08 | Video Playback FPS: 16.50 | Frames in Buffer: 100
Processing FPS: 28.08 | Video Playback FPS: 16.65 | Frames in Buffer: 100
Processing FPS: 28.08 | Video Playback FPS: 16.81 | Frames in Buffer: 100
Processing FPS: 28.07 | Video Playback FPS: 16.97 | Frames in Buffer: 100
Processing FPS: 28.07 | Video Playback FPS: 17.14 | Frames in Buffer: 100
